Description,Price,Rating,ReviewCount,url
"40 inch Office Desk with Two Non Woven Drawers, Computer Writing Desk Work Table for Bedroom, Home, Office, Kid Student Study Desk for Dorm Room",$125.99 ,4.4 out of 5 stars,678,https://www.amazon.ca/Drawers-Computer-Storage-Shelves-Bedroom/dp/B08N4P23ZD/ref=sr_1_13?crid=KQWQ1T01TXQ2&keywords=office+desk&qid=1661126158&sprefix=office+desk%2Caps%2C79&sr=8-13
"Mr IRONSTONE L-Shaped Desk 50.8"" Computer Corner Desk, Home Gaming Desk, Office Writing Workstation with Large Monitor Stand, Space-Saving, Easy to Assemble, Black",$169.99 ,4.5 out of 5 stars,"23,336",https://www.amazon.ca/Mr-IRONSTONE-L-Shaped-Workstation-Space-Saving/dp/B082Y16QZ2/ref=sr_1_14?crid=KQWQ1T01TXQ2&keywords=office+desk&qid=1661126158&sprefix=office+desk%2Caps%2C79&sr=8-14
"Rolanstar Computer Desk L Shaped with LED Strip & Power Outlets, Reversible L Shaped Computer Corner Desk with Monitor Stand, Home Office Gaming Desk with USB Port&Hook, Black",$229.99 ,4.4 out of 5 stars,32,https://www.amazon.ca/Rolanstar-Computer-Outlets-Reversible-Monitor/dp/B09W9HP3T5/ref=sr_1_15?crid=KQWQ1T01TXQ2&keywords=office+desk&qid=1661126158&sprefix=office+desk%2Caps%2C79&sr=8-15
"Rolanstar Computer Desk with Monitor Stand and Drawer, 47"" Home Office Writing Desk, Study Table Workstation,Stable Metal Frame, Business Style, Black",$169.99 ,4.5 out of 5 stars,508,https://www.amazon.ca/Rolanstar-Computer-Monitor-Workstation-Business/dp/B099SBD79V/ref=sr_1_16?crid=KQWQ1T01TXQ2&keywords=office+desk&qid=1661126158&sprefix=office+desk%2Caps%2C79&sr=8-16
"SHW L-Shape Computer Gaming Desk with Monitor Stand for Home Office, White",$149.87 ,4.5 out of 5 stars,"3,690",https://www.amazon.ca/SHW-L-Shape-Computer-Gaming-Monitor/dp/B09156SFG2/ref=sr_1_17?crid=KQWQ1T01TXQ2&keywords=office+desk&qid=1661126158&sprefix=office+desk%2Caps%2C79&sr=8-17
"Molblly 40 * 24 Inch Electric Height Adjustable Standing Desk, Memory Preset Electric Height Desk Ergonomic Stand Up Desk Study Desk for Home Office Works (Brown)",$244.99 ,,,https://www.amazon.ca/Molblly-Electric-Adjustable-Standing-Ergonomic/dp/B09ZQTYFNB/ref=sr_1_18?crid=KQWQ1T01TXQ2&keywords=office+desk&qid=1661126158&sprefix=office+desk%2Caps%2C79&sr=8-18
"SHW 46-Inch Mission Desk with Side Shelf, Rustic Brown",$99.87 ,4.8 out of 5 stars,12,https://www.amazon.ca/SHW-46-Inch-Mission-Shelf-Rustic/dp/B0B29J5JDV/ref=sr_1_19?crid=KQWQ1T01TXQ2&keywords=office+desk&qid=1661126158&sprefix=office+desk%2Caps%2C79&sr=8-19
Molblly Electric Adjustable Standing Desk with Powerful/Quite Motor & Memory Preset Controller，40 x 24 inch Brown,$236.00 ,,,https://www.amazon.ca/Molblly-Electric-Adjustable-Standing-Controller%EF%BC%8C40/dp/B0B15H99JQ/ref=sr_1_20?crid=KQWQ1T01TXQ2&keywords=office+desk&qid=1661126158&sprefix=office+desk%2Caps%2C79&sr=8-20
AZ L1 life Concept Writing Computer Desk Modern Simple Study Desk Industrial Style Folding Laptop Table for Home Office Notebook Desk Walnut Desktop White Frame 39.4 Inch,$134.03 ,4.3 out of 5 stars,37,https://www.amazon.ca/sspa/click?ie=UTF8&spc=MTo0Mjg0NTY1NTAyOTQ3MDczOjE2NjExMjYxNTg6c3BfbXRmOjIwMDAyNzc0NjQ0MDE1MTo6MDo6&sp_csd=d2lkZ2V0TmFtZT1zcF9tdGY&url=%2FAZ-L1-Life-Concept-AZ200230%2Fdp%2FB08F9RLN2W%2Fref%3Dsr_1_21_sspa%3Fcrid%3DKQWQ1T01TXQ2%26keywords%3Doffice%2Bdesk%26qid%3D1661126158%26sprefix%3Doffice%2Bdesk%252Caps%252C79%26sr%3D8-21-spons%26psc%3D1
"Bestar Dayton Computer Desk with Pedestal and Hutch, 63W, Bark Grey",$701.99 ,4.4 out of 5 stars,73,https://www.amazon.ca/sspa/click?ie=UTF8&spc=MTo0Mjg0NTY1NTAyOTQ3MDczOjE2NjExMjYxNTg6c3BfbXRmOjIwMDA3NTY0NTk5Nzk5ODo6MDo6&sp_csd=d2lkZ2V0TmFtZT1zcF9tdGY&url=%2Fbestar-L-Shaped-Desk%2Fdp%2FB01MXYX9UD%2Fref%3Dsr_1_22_sspa%3Fcrid%3DKQWQ1T01TXQ2%26keywords%3Doffice%2Bdesk%26qid%3D1661126158%26sprefix%3Doffice%2Bdesk%252Caps%252C79%26sr%3D8-22-spons%26psc%3D1
"Bestar, Universel Collection, Modern U or L-Shaped Executive Office Desk with Hutch",$836.99 ,4.3 out of 5 stars,78,https://www.amazon.ca/sspa/click?ie=UTF8&spc=MTo0Mjg0NTY1NTAyOTQ3MDczOjE2NjExMjYxNTg6c3BfbXRmOjIwMDA2NTYzNzc0NDY5ODo6MDo6&sp_csd=d2lkZ2V0TmFtZT1zcF9tdGY&url=%2FU-Shaped-L-Shaped-Desk-Combination-Hutch%2Fdp%2FB07WLQVC2Y%2Fref%3Dsr_1_23_sspa%3Fcrid%3DKQWQ1T01TXQ2%26keywords%3Doffice%2Bdesk%26qid%3D1661126158%26sprefix%3Doffice%2Bdesk%252Caps%252C79%26sr%3D8-23-spons%26psc%3D1
